CASEID,POINT_X,POINT_Y,YEAR_,LOCATION,CHPTYPE,DAYWEEK,CRASHSEV,VIOLCAT,KILLED,INJURED,WEATHER1,PEDCOL,BICCOL,MCCOL,TRUCKCOL,ETOH,TIMECAT,MONTH_,CRASHTYP,INVOLVE,PED,PRIMARYRD,SECONDRD,DISTANCE,DIRECT,INTERSECT_,PROCDATE,JURIS,DATE_,TIME_,BADGE,JURIDIST,SHIFT,POP,SPECIAL,BEATTYPE,LAPDDIV,BEATCLAS,BEATNUMB,WEATHER2,STATEHW,CALTRANC,CALTRAND,STROUTE,ROUTESUF,POSTPRE,POSTMILE,LOCATYPE,RAMP,SIDEHW,TOWAWAY,PARTIES,PCF,VIOLCODE,VIOL,VIOLSUB,HITRUN,ROADSURF,RDCOND1,RDCOND2,LIGHTING,RIGHTWAY,CHPRDTYP,NOTPRIV,STFAULT,CHPFAULT,SEVINJ,OTHERINJ,COP,PEDKILL,PEDINJ,BICKILL,BICINJ,MCKILL,MCINJURE,RAMP1,RAMP2,CITY,COUNTY,STATE,X_CHP,Y_CHP
6052776,-122.2530604,37.79499817,2013,109,0,3,4,3,0,4,A,,,,,,900,5,C,C,A,6TH AV,INTERNATIONAL BL,10,S,N,2/18/14,109,5/1/13,838,9095,1,5,7,0,0,,0,19X,-,N,,0,0,,,0,,,,N,3,A,-,22350,,N,A,H,-,A,A,0,Y,A,1,0,0,4,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6052743,-122.2153204,37.77781296,2013,109,0,5,4,5,0,1,A,,Y,,,,900,5,H,G,A,40TH AV,FOOTHILL BL,5,N,N,2/18/14,109,5/3/13,729,8508,2,5,7,0,0,,0,23X,-,N,,0,0,,,0,,,,N,2,A,-,21202,A,N,A,H,-,A,A,0,Y,L,4,0,0,1,0,0,0,1,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6052731,-122.2787331,37.82701492,2013,109,0,5,3,9,0,4,A,,,,,,1500,5,D,C,A,SAN PABLO AV,36TH ST,0,,Y,2/18/14,109,5/3/13,1307,7715,1,5,7,0,0,,0,07X,-,N,,0,0,,,0,,,,Y,2,A,-,21801,A,N,A,H,-,A,A,0,Y,A,7,0,2,2,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6052155,-122.2586369,37.82434082,2013,109,0,1,4,3,0,3,A,,,,,,1800,4,C,C,A,WEST MACARTHUR BL,BROADWAY,40,E,N,2/19/14,109,4/29/13,1604,8606,1,5,7,0,0,,0,09X,-,N,,0,0,,,0,,,,N,3,A,-,22350,,N,A,H,-,A,A,0,Y,D,22,0,0,3,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6052135,-122.1853931,37.76302338,2013,109,0,2,4,12,0,3,A,,,,,,1200,3,D,C,A,70TH AV,FAVOR ST,0,,Y,4/1/14,109,3/26/13,1053,8465,2,5,7,0,0,,0,30X,-,N,,0,0,,,0,,,,N,2,A,-,22450,A,N,A,H,-,A,A,0,Y,A,1,0,0,3,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6052094,-122.2700131,37.80386353,2013,109,0,5,4,8,0,1,A,,Y,,,,2400,4,H,G,A,14TH ST,FRANKLIN ST,0,,Y,2/19/14,109,4/19/13,2235,9117,1,5,7,0,0,,0,04X,-,N,,0,0,,,0,,,,N,2,A,-,22107,,M,A,H,-,C,A,0,Y,D,22,0,0,1,0,0,0,1,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6052090,-122.2735732,37.83745575,2013,109,0,1,3,3,0,1,A,,,,,,900,4,C,C,A,MARKET ST,53RD ST,0,,Y,2/18/14,109,4/22/13,713,8235,1,5,7,0,0,,0,10Y,-,N,,0,0,,,0,,,,Y,3,A,-,22350,,N,A,H,-,A,A,0,Y,A,7,0,1,0,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051760,-122.161331,37.7457161,2013,109,0,6,4,8,0,1,A,,,,,,1500,4,A,C,A,SUNNYSIDE ST,99TH AV,25,E,N,2/25/14,109,4/20/13,1346,8631,2,5,7,0,0,,0,32X,-,N,,0,0,,,0,,,,N,2,A,-,22100,A,M,A,H,-,A,D,0,Y,A,1,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051758,0,0,2013,109,0,2,4,17,0,1,A,,Y,,,,2100,2,H,G,A,COLLEGE AV,MANILA AV,150,E,N,1/25/14,109,2/12/13,1800,8101,1,5,7,0,0,,0,12X,-,N,,0,0,,,0,,,,N,2,A,-,22517,,N,A,H,-,B,D,0,Y,A,1,0,0,1,0,0,0,1,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
6051749,-122.175613,37.75113297,2013,109,0,6,4,3,0,1,A,,,,,,1800,4,D,C,A,INTERNATIONAL BL,88TH AV,0,,Y,2/25/14,109,4/27/13,1631,8717,2,5,7,0,0,,0,34X,-,N,,0,0,,,0,,,,Y,2,A,-,22350,,M,A,H,-,A,A,0,Y,A,7,0,0,1,0,0,0,0,0,0,-,-,OAKLAND,ALAMEDA,CA,0,0
